,Total Return,CAGR,Sharpe,MaxDD,Win Rate,Profit Factor
Baseline,37.70830379043674,0.4308908611014408,1.3777184581086355,-0.28450232520556207,0.7213114754098361,4.019300226016414
Conservative,46.90328707004626,0.46109213962051454,1.3787519143162679,-0.3033158187009305,0.7213114754098361,4.264258493270576
Balanced,57.29150348295932,0.48946811293908743,1.3587228864973424,-0.3235208540754424,0.7213114754098361,4.5165751551400435
Aggressive,81.23502097524774,0.540556470737622,1.2879318208171981,-0.3676192827255875,0.7213114754098361,5.044650985965749
