,Total Return,CAGR,Sharpe
0.05%,38.30770507658405,0.40585726287258606,1.3830071968410131
0.10%,37.708294402725365,0.40385425906233574,1.377718366972348
0.25%,35.963421218214776,0.3978590947766849,1.3618487290406172
0.50%,33.225457435560685,0.38791318842914024,1.3353890735559901
