,Top N,Top Return,Bottom Return,Spread
0,5,0.12088663276179984,0.09824354287784398,0.022643089883955858
1,10,0.11982824485032334,0.07552627746730628,0.04430196738301706
2,20,0.10933813976795978,0.06509731338447343,0.04424082638348635
3,30,0.10070214016605637,0.061254071818107665,0.03944806834794871
4,50,0.09042334061335192,0.05913088896104859,0.03129245165230333
