Volatility,count,mean,std,Sharpe
High,20,0.09160045289455959,0.10958368581265021,0.8358949803090612
Low,19,0.06471946934591596,0.16382813316375458,0.39504490526804426
Medium,21,0.05355627812579926,0.0982726380283406,0.5449764980396099
