,Factor,Mean IC
0,Momentum63,0.025827835260655786
1,Momentum126,0.04274663180070895
2,RelativeStrength,0.025827835260655786
3,TrendStrength,0.03582268605328387
4,Volatility,-0.0018958044325187381
5,Breakout,0.023861914082263333
6,VolumeTrend,-0.004935615010221598
