Bucket,count,mean,std,Sharpe
Very Low,485,0.054021416816498406,0.06829002110368303,0.7910587219541058
Low,484,0.025681328399136255,0.06338565773478559,0.4051599260291737
Medium,485,0.015265846892908202,0.06857833851799744,0.22260450198719658
High,484,0.018813883290911406,0.08735629211993914,0.21536952673174553
Very High,485,0.027975475030206625,0.05234369308392828,0.5344574175412219
