Sector,Total Return
Retail,2.8343754015196945
Industrials,2.5068885856977694
Other,1.3812401262638032
Auto,1.1068523162286943
Energy,0.8488941046686851
Metals,0.7921210383009994
Financials,0.42474249996140223
FMCG,0.4206729451249239
IT,0.3817095975724185
Telecom,0.17543824364331817
Materials,-0.0022188312982882596
Pharma,-0.06158529761840814
