Date,Strategy,Equal Weight,NIFTY50,Alpha vs EW,Alpha vs NIFTY
2020,0.4149831165697435,0.3586733591047113,0.2881926193556936,0.056309757465032195,0.1267904972140499
2021,0.6054251606865095,0.36701856199181715,0.23032388172137686,0.23840659869469238,0.3751012789651327
2022,0.19410044423760486,0.11795132623039262,0.03773087121104912,0.07614911800721225,0.15636957302655574
2023,0.5068094896484165,0.40496753913441697,0.23522117160930356,0.10184195051399958,0.271588318039113
2024,0.3818512214113803,0.2014003469449792,0.09956529101734768,0.18045087446640107,0.2822859303940326
2025,0.1738045151070875,0.16294671411304495,0.11840263321609079,0.010857800994042544,0.05540188189099671
2026,0.02778213713251554,-0.04347570311014248,-0.10999508321509344,0.07125784024265802,0.13777722034760898
