bucket,mean,median,count
< -1%,-0.0018078604933031669,-0.0008467341238396209,62
-1% to -0.5%,-0.0009431756415837748,-0.0007978896742616981,300
-0.5% to 0%,-0.0003874100032523871,-0.00016627978902417073,1063
0% to 0.5%,6.625729077920899e-05,0.00032624997436880854,950
0.5% to 1%,0.0011502323423083697,0.001214513776648718,194
> 1%,0.004511485785670033,0.0024730490390914017,27
