signal,overnight_return
0.04825405632009601,0.0080744006645406
-0.569919195300744,0.013284030184655017
-0.007258256305922534,0.01035940440574993
0.17872958170355624,-0.004074551290745636
0.48620909176304933,0.004046455113170677
-0.7835017679557436,0.00804578163068729
-0.7653800496563268,0.0015435588927084805
-0.15538524619103528,-0.008263621976034407
-0.335795525621914,0.006132129386215526
0.1116251338948689,-0.0035639698538090935
-0.5897554712097666,-0.0011613737392229251
-0.03924555329700027,0.02134230187468488
-0.025297796599400253,0.004892829087644525
-0.34822999722371734,0.0038472307778462636
-0.06603658658510368,0.016890213611525005
-0.5271190813120467,-0.015382240404018128
-0.03139086584433957,-0.00556737985885524
-0.6874999604676005,-0.006271883604718401
0.08321675406186035,-0.0055029879059592095
-0.12624351493579716,0.0025463241745951296
0.21903864047083024,0.00975612540817013
0.4146184988269109,0.0022238780306069396
-0.583624798177593,0.006563204638534938
-0.030484787565098714,-0.013599181419596852
-0.3808279224975109,-0.0005002413955572854
-0.17281482973743667,-0.004663608117009928
0.5545343615823423,-0.0015904364087595921
-0.22436327886438504,-0.00882994462279763
-0.047396565952674,-0.00886543660209422
-0.3752142077803346,0.0034617799168934534
0.39089891698454926,0.01250252306377131
-0.07017954272101545,-0.004429997242253372
0.05251338164166516,0.015032633538323618
-0.25569661445411285,0.010654144700857812
-0.4928846182788788,0.006910322076569231
-0.012033127474198636,0.006708554412872188
-0.3559468548597084,0.005437211380902809
-0.037205119124614494,0.00347726948838535
-0.2641666597767339,0.0074033998690167715
-0.4458224888964998,-0.005801445252408322
-0.741719688397003,-0.0001494364521488492
-0.4527782503832583,-0.005477412168051014
-0.9852996946097132,-0.014433182853495874
-0.011632909824085253,-0.0017527910970095602
-0.0018264727882536403,0.009279485729591468
-0.7624732137158423,-0.0010101970478476859
-0.7383139755594287,-0.001599971236472197
-1.2087831097492412,-0.0015434630693040108
0.3070594725927898,0.004010070676737255
-0.539793365915212,-0.001050630682059678
-0.6708582824349673,0.007029586667645414
0.6341848619425425,0.007777327910757171
0.16487503140593818,-0.004196775487478435
-1.799530406748209,-0.012283780396089223
0.05660219341822292,0.0061433953859573774
0.3934807727684635,0.009540372062263547
0.38019177043021035,0.005846999486575414
-1.4613386091014862,-0.00012832107154207487
-0.5888844726024198,0.013854765115548853
-0.5201444510417592,0.007907628139658576
-0.002309069209278556,0.005448996061917277
0.03918417351858509,0.008076725879904784
0.04150428465515486,0.0037974380748484016
0.3727942907899975,0.00014229305254179593
-0.2652993758832202,0.0032062149413186205
0.33033528481488056,-0.0035426864191116124
-0.06264808692524942,-0.006374979244253624
-0.19645955024674555,-0.006438063554935862
0.15772306762986818,0.0031793731406077144
-0.18229656378560596,4.8038238437752794e-05
0.7967449843591341,0.0009334792018455971
0.26511321872228283,-0.0002960226398114928
-0.9083497936416275,-0.01426672733368452
-0.40177174305132163,-0.004170075586436025
-0.17277745130995578,-0.002371458938741429
-0.0031242469422927324,0.0006774358437463434
-0.5047312988736826,-0.006319985639209932
-0.10717045487652546,0.0008544023549074445
0.9877297520598644,0.007434760593298812
-1.3594938947924835,-0.011959732876542223
0.19855460142094178,0.0013540961408260214
0.3474538377214336,-0.0012727091235775376
-0.197236355873683,0.01188472009262444
-0.1412620414333855,0.005004149480385919
0.5662780425987192,0.00537555318549023
0.3025990240944969,0.004090862120318715
0.6600762135475334,0.007728672472694028
0.09220208589132142,0.0016576232782779365
0.04752663141712544,-0.008008520208721228
0.3337646427655841,0.003418864721739122
-0.10783784760424878,-0.01638161347263971
-0.4929413853692357,0.013441302453677605
0.21311732839793707,0.005009298698182255
0.8219251157337208,0.004118664959939316
-0.13087803859447847,-0.002664649961891284
0.5482080814234391,-0.010944751413795467
0.35205285524347973,0.01362517685384446
0.3322415684290801,-0.012751222479586344
-0.5532705292474752,-0.004439339930850945
0.006671877347976686,4.1839253587759485e-05
-0.6905409158584214,0.009011985941301932
-0.5866985644781676,0.013211485439854636
-0.2569750748939499,0.0011592694236774003
0.8858031009859946,0.0027692379901901555
0.3658466641313238,0.006189765010617608
-0.31818892320059045,0.0025459195535921454
-0.6583978975472939,0.0026109964914734223
0.2835540499518094,-0.012373968835930298
1.035619647851988,0.007694146037223345
