Metric,Value
Trades,"2015-05-06    0.009521
2015-11-09    0.005201
2016-11-09    0.023762
2016-11-21    0.004041
2017-06-23    0.001809
2017-06-27    0.000482
2017-08-08    0.001596
2017-09-27    0.009053
2017-12-18   -0.003395
2018-05-15   -0.009699
2019-07-08    0.006669
2020-03-09    0.006695
2020-03-12    0.015496
2021-04-05   -0.007868
2021-06-18   -0.013208
2021-07-28   -0.010835
2021-09-20   -0.010448
2021-10-21   -0.002457
2023-01-25    0.001001
2023-04-17   -0.003592
2024-04-04   -0.006993
2024-06-04    0.016797
2024-07-10   -0.005440
2024-07-12   -0.002039
2024-07-19    0.004253
2024-07-26    0.008281
2024-11-04   -0.005063
2024-11-07    0.001504
dtype: float64"
Total Return %,0.03462764270593088
CAGR %,0.003586517893262142
Sharpe,0.24182616802532847
Profit Factor,1.4334847567916222
Win Rate %,0.5714285714285714
Max Drawdown %,-0.053199589713435746
