Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2020-01-01,205.79452514648438,361.06256103515625,1403.10693359375,1690.746337890625,745.5869140625,2599.727783203125,413.5321960449219,29.713722229003906,433.3164978027344,449.4202575683594,116.76146697998047,554.48828125,2088.21923828125,,716.8876953125,450.6942443847656,595.6771850585938,609.907958984375,1934.70068359375,205.76014709472656,1732.3111572265625,519.137939453125,1431.07666015625,619.7403564453125,168.79661560058594,,251.1308135986328,333.4170837402344,1180.6748046875,509.7279357910156,6945.33544921875,690.580810546875,94.73124694824219,85.37139129638672,76.68421936035156,672.216064453125,964.6342163085938,303.13848876953125,201.81683349609375,406.07403564453125,306.71435546875,38.45708465576172,1841.1492919921875,602.6174926757812,1132.7049560546875,526.4027099609375,3942.765625,113.70918273925781
2020-01-02,209.11135864257812,366.3210144042969,1470.2940673828125,1688.3424072265625,753.8026123046875,2575.711669921875,414.9737243652344,30.60379981994629,435.1327209472656,447.1537780761719,116.29319763183594,551.6959838867188,2043.2919921875,,739.9149780273438,451.95501708984375,599.4740600585938,622.4701538085938,1932.2349853515625,211.3770294189453,1733.6529541015625,522.861572265625,1474.1739501953125,617.9320678710938,170.03726196289062,,258.9522705078125,332.91912841796875,1212.5360107421875,512.8151245117188,6962.57568359375,688.2584228515625,94.6143569946289,85.77330017089844,76.52730560302734,683.6602783203125,957.6691284179688,307.5343933105469,204.99655151367188,406.6817321777344,306.2408142089844,39.86299514770508,1832.69775390625,605.7408447265625,1133.53857421875,538.0309448242188,4117.15869140625,113.98463439941406
2020-01-03,206.2400665283203,365.6995544433594,1461.88330078125,1651.334716796875,739.86083984375,2535.314453125,409.8330078125,29.951080322265625,435.037109375,443.8013610839844,116.70635223388672,555.3549194335938,2004.357666015625,,730.5496215820312,461.0169982910156,590.9252319335938,618.9861450195312,1934.5418701171875,207.82447814941406,1724.1710205078125,521.1690673828125,1474.029296875,627.43603515625,169.08023071289062,,255.20547485351562,330.0411682128906,1203.2974853515625,506.07080078125,6890.76416015625,681.915283203125,93.01667785644531,86.04121398925781,75.70359802246094,684.4840698242188,963.3497924804688,302.45867919921875,204.8994140625,415.7046203613281,301.3633117675781,39.76844024658203,1869.22216796875,612.8970947265625,1117.9420166015625,532.6143188476562,4092.3291015625,115.26998901367188
2020-01-06,197.57659912109375,363.5005798339844,1438.66796875,1609.6131591796875,720.24267578125,2506.92431640625,390.6043395996094,28.764307022094727,429.8273620605469,440.7793884277344,113.31835174560547,554.3824462890625,1973.2552490234375,,711.577392578125,458.6136169433594,578.13671875,608.0431518554688,1883.480712890625,200.9593963623047,1713.4366455078125,508.4505615234375,1416.7108154296875,621.4224853515625,166.66983032226562,,247.52452087402344,329.1349792480469,1186.803466796875,498.2339172363281,6689.52880859375,673.64697265625,92.66594696044922,84.56758117675781,75.7428207397461,668.609375,971.25341796875,289.1349182128906,197.3386688232422,411.3567810058594,295.5860900878906,38.90927505493164,1869.0518798828125,609.1806640625,1136.481201171875,526.700927734375,4032.095703125,115.75199890136719
2020-01-07,202.03207397460938,367.8985290527344,1454.603759765625,1625.877197265625,722.7322998046875,2507.171875,391.6744689941406,28.586292266845703,425.47796630859375,442.5264892578125,113.31835174560547,555.4127807617188,1967.896728515625,,716.6946411132812,460.3865966796875,587.2913208007812,618.2500610351562,1867.49462890625,200.52734375,1718.1326904296875,505.742431640625,1409.2388916015625,612.2127685546875,166.84707641601562,,248.46116638183594,332.77972412109375,1190.1834716796875,500.2762756347656,6719.1650390625,667.763916015625,93.95188903808594,84.232666015625,75.19367980957031,678.8956298828125,973.03173828125,288.591064453125,198.60174560546875,417.3875427246094,298.2379150390625,39.143592834472656,1873.639404296875,614.4785766601562,1137.8055419921875,529.6824340820312,4114.5400390625,117.15213775634766
2020-01-08,199.50726318359375,368.7112121582031,1449.6361083984375,1630.0260009765625,721.487548828125,2524.75048828125,395.8084716796875,28.31926918029785,438.62176513671875,438.89068603515625,110.28844451904297,557.92578125,1881.66552734375,,717.0325927734375,461.56854248046875,585.7539672851562,617.17041015625,1843.237060546875,199.13511657714844,1725.87060546875,508.6922912597656,1406.298095703125,604.0543823242188,166.03179931640625,,245.88523864746094,329.593017578125,1164.090576171875,498.3763732910156,6682.689453125,672.4599609375,93.48426055908203,82.69202423095703,74.74259185791016,673.7970581054688,975.847412109375,289.8600158691406,199.67047119140625,411.4971008300781,299.5164794921875,39.07371139526367,1915.59912109375,608.7062377929688,1121.4735107421875,528.6885986328125,4189.07958984375,116.96851348876953
2020-01-09,205.94302368164062,374.5910339355469,1455.4892578125,1671.2763671875,739.7611694335938,2546.5791015625,403.0650939941406,28.77914047241211,439.81671142578125,443.9430236816406,109.07649230957031,562.4029541015625,1922.9744873046875,,731.1771240234375,457.2740173339844,592.3228759765625,619.771240234375,1872.6641845703125,202.35162353515625,1730.9696044921875,528.3745727539062,1453.5892333984375,611.9182739257812,167.1660919189453,,260.49786376953125,331.6245422363281,1186.2628173828125,514.14501953125,6865.734375,684.2446899414062,93.01667785644531,82.8594741821289,75.68399047851562,689.3154907226562,976.5883178710938,299.2863464355469,202.6382598876953,411.2633056640625,311.1656799316406,39.72322463989258,1880.8590087890625,611.75048828125,1141.2386474609375,544.0935668945312,4256.05224609375,116.44058227539062
2020-01-10,207.03213500976562,374.8301086425781,1461.6866455078125,1690.1339111328125,736.972900390625,2559.37109375,405.083251953125,28.83847999572754,436.8533630371094,447.1537780761719,113.09800720214844,564.8101196289062,1932.7979736328125,,730.163330078125,457.3132629394531,597.5873413085938,611.5272827148438,1879.7427978515625,203.07171630859375,1747.9207763671875,522.5230102539062,1437.77734375,620.8336181640625,168.7257537841797,,260.310546875,335.5382080078125,1193.87890625,519.2271728515625,6963.193359375,686.2257080078125,93.7570571899414,83.16089630126953,75.37019348144531,689.15966796875,977.0823364257812,301.1444396972656,199.76763916015625,414.76959228515625,323.2884216308594,39.97398376464844,1880.17919921875,613.8062744140625,1132.0181884765625,547.174560546875,4310.95068359375,115.56837463378906
2020-01-13,211.48765563964844,373.2048034667969,1459.2763671875,1701.7781982421875,734.3339233398438,2553.470458984375,407.003662109375,29.075836181640625,448.228759765625,451.0729064941406,116.54109954833984,568.9888916015625,1918.3487548828125,,733.3978881835938,462.1595153808594,599.1248168945312,613.7845458984375,1882.3675537109375,202.78367614746094,1784.4625244140625,520.9271850585938,1484.4420166015625,650.6074829101562,169.61192321777344,,260.9662170410156,336.8128662109375,1202.9820556640625,527.1589965820312,6984.28125,684.9361572265625,94.88713073730469,84.03170013427734,76.40962982177734,687.4006958007812,977.9220581054688,299.78485107421875,206.34796142578125,415.7046203613281,334.2746276855469,40.75916290283203,1860.4735107421875,621.3973388671875,1136.824462890625,542.1057739257812,4334.32666015625,116.96851348876953
2020-01-14,212.230224609375,372.1053161621094,1468.9659423828125,1715.2139892578125,744.7902221679688,2559.701171875,409.7890319824219,29.624713897705078,448.658935546875,457.3056945800781,117.31234741210938,567.66015625,1938.1849365234375,,733.6875,468.3059997558594,600.7553100585938,602.8416137695312,1917.87939453125,203.5037841796875,1796.941162109375,519.9599609375,1428.521728515625,652.373779296875,172.4476318359375,,263.1206359863281,333.96478271484375,1195.2308349609375,534.3309326171875,7016.671875,694.76513671875,96.25099182128906,83.7637710571289,76.58616638183594,681.032958984375,975.8967895507812,297.29229736328125,200.04144287109375,417.0136413574219,368.98541259765625,40.99348449707031,1874.531005859375,629.6209716796875,1144.81884765625,557.70947265625,4348.48681640625,118.07025909423828
2020-01-15,214.45797729492188,373.635009765625,1487.3121337890625,1736.993896484375,743.1968994140625,2577.81640625,411.1817321777344,30.811485290527344,447.22503662109375,457.069580078125,117.03687286376953,562.0466918945312,1950.96435546875,,739.9632568359375,469.4486083984375,598.3095092773438,605.098876953125,1969.49609375,205.1360626220703,1808.4359130859375,518.025634765625,1350.2816162109375,645.5609741210938,171.84503173828125,,264.6193542480469,333.7257995605469,1192.9775390625,541.2178344726562,7108.00439453125,694.3726806640625,96.5237808227539,83.49581146240234,76.19392395019531,678.5616455078125,986.1220703125,293.8934326171875,194.11477661132812,419.8653869628906,370.7374572753906,41.28124237060547,1891.518310546875,628.751220703125,1162.2301025390625,580.3697509765625,4370.990234375,113.961669921875
2020-01-16,217.8243408203125,373.7784423828125,1565.614990234375,1730.2996826171875,734.2342529296875,2568.3671875,412.4522399902344,31.375200271606445,453.0083312988281,453.5282287597656,115.82492065429688,565.6670532226562,2037.1812744140625,,729.97021484375,467.478515625,599.8933715820312,596.2169799804688,1936.25146484375,201.29544067382812,1833.1251220703125,519.5248413085938,1336.7352294921875,645.0985717773438,170.67529296875,,259.8890075683594,338.8941650390625,1189.101806640625,539.0330810546875,7088.72119140625,717.488525390625,94.65331268310547,83.39535522460938,77.05685424804688,684.8180541992188,987.8510131835938,293.0323486328125,194.1677703857422,419.8653869628906,363.9184265136719,40.64816665649414,1901.62646484375,619.025146484375,1170.12646484375,587.87353515625,4337.86669921875,114.97158813476562
2020-01-17,226.14125061035156,370.5755615234375,1592.2239990234375,1725.4910888671875,736.8235473632812,2573.318603515625,413.5761413574219,32.22077560424805,478.0055236816406,453.575439453125,114.53030395507812,584.3271484375,2014.0958251953125,,741.7495727539062,471.8519287109375,595.467529296875,596.3641967773438,1951.760498046875,201.6795196533203,1843.0098876953125,514.5921630859375,1303.7615966796875,645.8133544921875,170.10813903808594,,256.0484924316406,338.20709228515625,1175.4921875,540.7903442382812,7143.34033203125,721.439208984375,94.45848846435547,83.99820709228516,77.42948913574219,704.01025390625,984.3438110351562,288.228515625,192.15394592285156,425.0547180175781,360.177490234375,40.71805191040039,1884.8934326171875,615.5460205078125,1166.0557861328125,587.774169921875,4351.83251953125,115.26998901367188
2020-01-20,224.3095703125,363.357177734375,1602.995849609375,1743.1226806640625,724.1763305664062,2561.43408203125,405.8406982421875,31.15268898010254,486.274169921875,453.43377685546875,110.81182098388672,589.1895751953125,2020.9918212890625,,746.142578125,464.32659912109375,584.6358642578125,587.1387939453125,1921.2193603515625,199.0391082763672,1845.2908935546875,517.3002319335938,1284.1895751953125,646.318115234375,171.49057006835938,,254.17507934570312,322.2337951660156,1180.359130859375,538.7955322265625,7076.32568359375,720.4019775390625,92.15936279296875,82.3236083984375,80.27326965332031,682.3466796875,969.6727294921875,284.60302734375,189.6189422607422,420.2394104003906,362.87664794921875,40.33985137939453,1843.4854736328125,615.348388671875,1165.1727294921875,596.6195068359375,4333.30712890625,113.84688568115234
2020-01-21,222.0323028564453,363.2615661621094,1599.700439453125,1707.2935791015625,714.6162109375,2555.9462890625,404.4724426269531,31.167510986328125,489.18975830078125,447.05938720703125,111.36267852783203,589.3533325195312,1991.80517578125,,745.0321655273438,460.2289123535156,579.7207641601562,590.8191528320312,1907.778076171875,196.97479248046875,1838.6265869140625,513.625,1288.431640625,641.3137817382812,169.04478454589844,,250.33460998535156,323.6677551269531,1173.8245849609375,525.11669921875,6936.73876953125,714.0237426757812,91.30207824707031,82.2231216430664,78.68467712402344,683.0368041992188,961.0281982421875,284.3310852050781,192.4453887939453,418.32257080078125,365.38641357421875,39.147705078125,1844.0797119140625,615.9017333984375,1153.7451171875,590.65625,4348.72998046875,113.4337387084961
2020-01-22,223.66598510742188,366.75128173828125,1607.81591796875,1677.5936279296875,709.636962890625,2538.90380859375,404.82427978515625,29.951080322265625,491.8184814453125,445.35955810546875,105.71607971191406,589.661376953125,1995.915283203125,,765.5492553710938,465.429931640625,578.090087890625,601.3695068359375,1908.056884765625,195.48655700683594,1835.316650390625,505.6939392089844,1279.802734375,647.7899780273438,168.7611846923828,,249.02317810058594,315.7807922363281,1166.47900390625,525.8765869140625,6778.05908203125,726.5442504882812,87.40526580810547,77.9696273803711,78.46894073486328,682.7919311523438,969.8702392578125,286.5517272949219,189.91046142578125,417.2940979003906,364.6761169433594,39.05727005004883,1874.531005859375,615.783203125,1155.1676025390625,582.6060791015625,4342.328125,112.85993194580078
2020-01-23,227.32940673828125,368.90240478515625,1659.411376953125,1674.6234130859375,719.9938354492188,2529.66064453125,403.221435546875,30.01041603088379,500.56512451171875,439.2684020996094,105.08253479003906,585.0588989257812,1978.486328125,,780.997314453125,471.9700927734375,579.9537353515625,604.5591430664062,1932.4735107421875,196.4467010498047,1839.9683837890625,510.3848876953125,1284.044921875,659.6909790039062,168.65481567382812,,249.77259826660156,319.8338623046875,1200.8192138671875,538.130615234375,6788.98291015625,726.55126953125,88.4573974609375,78.90742492675781,79.21421813964844,679.8975219726562,974.0691528320312,292.9416809082031,191.5002899169922,420.6134033203125,372.4422607421875,39.484798431396484,1865.208740234375,608.0340576171875,1181.1126708984375,585.8858032226562,4390.291015625,114.16824340820312
2020-01-24,227.47793579101562,367.8507080078125,1641.5076904296875,1684.7122802734375,734.3339233398438,2537.046875,409.9356384277344,30.218097686767578,501.1387023925781,433.3189392089844,106.84538269042969,583.7590942382812,1979.9100341796875,,793.6453857421875,480.4695739746094,579.8139038085938,595.9716186523438,1963.412353515625,197.21481323242188,1854.99658203125,516.3330078125,1268.9078369140625,658.34521484375,168.8320770263672,,254.69029235839844,327.2229309082031,1225.064208984375,539.3180541992188,6771.26708984375,736.2074584960938,89.43160247802734,79.27581787109375,77.25296783447266,677.5375366210938,987.752197265625,293.7121276855469,191.4738006591797,418.6965637207031,364.2499694824219,39.74378204345703,1858.781494140625,622.5440673828125,1204.4091796875,579.7238159179688,4503.142578125,114.12214660644531
2020-01-27,228.27003479003906,364.50445556640625,1668.4122314453125,1686.1737060546875,737.1720581054688,2544.021240234375,406.9890441894531,30.15875816345215,491.7229309082031,438.60736083984375,106.51486206054688,614.06005859375,1995.4613037109375,,785.052490234375,477.8207092285156,565.2084350585938,588.5618896484375,1953.1522216796875,190.3497314453125,1843.94921875,519.6214599609375,1225.617919921875,654.434326171875,166.3153533935547,,246.16622924804688,322.3233947753906,1215.5103759765625,549.3396606445312,6790.5966796875,732.027587890625,88.18463134765625,78.53900146484375,75.70359802246094,670.8579711914062,980.1943969726562,286.5970764160156,190.79368591308594,419.25762939453125,362.1663818359375,38.02132797241211,1846.735107421875,625.8650512695312,1190.62744140625,569.2384033203125,4536.31396484375,113.0851058959961
2020-01-28,227.62644958496094,356.5690612792969,1650.4102783203125,1677.4520263671875,734.0849609375,2526.1123046875,411.7436218261719,29.72854995727539,469.5934753417969,438.8434753417969,104.20111846923828,614.13720703125,1994.65234375,,780.997314453125,475.528076171875,569.8673095703125,592.5366821289062,1963.5716552734375,188.1894073486328,1843.2779541015625,510.8684387207031,1209.7576904296875,654.3501586914062,163.58596801757812,,239.09413146972656,323.85699462890625,1213.7529296875,543.8301391601562,6646.451171875,720.3739624023438,87.32733154296875,78.10359191894531,74.703369140625,655.36181640625,975.9461669921875,285.6000671386719,190.75836181640625,423.46514892578125,360.5563049316406,36.68941116333008,1859.0792236328125,628.0396118164062,1172.186279296875,584.3451538085938,4470.4560546875,112.48591613769531
2020-01-29,230.00270080566406,366.5122375488281,1660.4931640625,1694.281982421875,732.1928100585938,2551.654541015625,431.8764343261719,29.83240509033203,468.6375427246094,435.8686828613281,105.247802734375,606.2610473632812,1910.0482177734375,,774.6248779296875,481.3786315917969,575.7608032226562,593.8124389648438,1977.4898681640625,189.86965942382812,1855.4434814453125,509.32098388671875,1213.13232421875,664.190673828125,167.76869201660156,,244.71437072753906,326.72503662109375,1230.9228515625,548.8172607421875,6659.037109375,741.4058227539062,88.22358703613281,78.80691528320312,75.46826934814453,658.9686889648438,995.6557006835938,286.8236389160156,195.59866333007812,420.84716796875,363.1607666015625,37.17860794067383,1834.2630615234375,635.8677368164062,1163.554443359375,578.6802368164062,4430.83447265625,113.73037719726562
2020-01-30,229.2106170654297,361.397216796875,1663.247802734375,1701.8721923828125,727.8609008789062,2595.93115234375,426.5304870605469,29.891733169555664,468.2073974609375,425.9057312011719,103.54002380371094,607.5319213867188,1924.0528564453125,,763.9561157226562,480.587890625,571.195068359375,589.2979736328125,1974.268798828125,185.7410430908203,1841.0419921875,514.7371826171875,1187.3414306640625,656.6210327148438,165.92547607421875,,240.68655395507812,324.2951965332031,1234.978759765625,539.4129638671875,6668.67919921875,725.240478515625,88.57431030273438,77.43375396728516,76.25275421142578,642.8936157226562,986.2208862304688,281.6120300292969,184.363525390625,413.3670654296875,361.40869140625,36.878509521484375,1820.0037841796875,625.746337890625,1156.7369384765625,578.4317626953125,4351.10546875,110.94184112548828
2020-01-31,227.18087768554688,353.1749267578125,1633.1463623046875,1693.0567626953125,726.267578125,2624.44482421875,426.6868591308594,26.895145416259766,474.5642395019531,422.0339050292969,100.09696197509766,599.76171875,1919.2286376953125,,752.0321044921875,467.5820617675781,571.3115844726562,588.0711669921875,1989.8177490234375,181.8043975830078,1819.7069091796875,508.4021911621094,1213.710693359375,652.6260986328125,166.70526123046875,,234.83212280273438,336.9423522949219,1234.1676025390625,538.7481079101562,6567.08740234375,717.7011108398438,87.95082092285156,72.97930908203125,73.2912826538086,628.599609375,982.1207885742188,288.6364440917969,180.28286743164062,406.07403564453125,363.1134338378906,36.06867218017578,1769.9454345703125,629.897705078125,1165.0748291015625,587.1778564453125,4283.30810546875,109.14430236816406
2020-02-03,218.71543884277344,351.2149963378906,1668.2154541015625,1760.9429931640625,706.002197265625,2710.645751953125,426.0467224121094,24.7737979888916,487.5646667480469,419.81463623046875,98.416748046875,605.4714965820312,1880.8380126953125,,753.4804077148438,457.85723876953125,555.7045288085938,554.8007202148438,1889.84326171875,174.55528259277344,1949.1463623046875,498.633544921875,1217.808349609375,645.4349365234375,147.1741943359375,,235.58151245117188,333.8552551269531,1159.6739501953125,530.72119140625,6659.98681640625,761.697021484375,85.92449188232422,69.29517364501953,73.4874038696289,616.9552001953125,901.6524047851562,270.1916198730469,174.5240020751953,390.4125671386719,358.8041687011719,35.85079574584961,1789.908935546875,627.1697998046875,1163.75048828125,590.4077758789062,4239.22509765625,109.42082977294922
