Price,Close,High,Low,Open,Volume,Return,SMA20,SMA50,Signal,Strategy_Return,Market_Cumulative,Strategy_Cumulative
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
Date,,,,,,,,,,,,
2022-01-03,177.93972778320312,178.79028222604728,173.73590007898758,173.85321176039008,104487900,,,,0,,,
2022-01-04,175.68136596679688,178.84891521802436,175.11433471652768,178.54585013474667,99310400,-0.012691723453448156,,,0,-0.0,0.9873082765465518,1.0
2022-01-05,171.0082550048828,176.1408490374331,170.7345178498846,175.5933747274367,94537600,-0.0265999238803577,,,0,-0.0,0.9610459515439664,1.0
2022-01-06,168.15357971191406,171.3797850968752,167.80162976232634,168.83792269234627,96904000,-0.016693201698872562,,,0,-0.0,0.9450030176329581,1.0
2022-01-07,168.3197784423828,170.24572473108867,167.2052727402814,169.02367835082143,86709100,0.00098837462011514,,,0,0.0,0.9459370346315188,1.0
2022-01-10,168.33934020996094,168.64240533418686,164.40923476090865,165.29888813158135,106765600,0.00011621787860671695,,,0,0.0,0.9460469694269792,1.0
2022-01-11,171.16470336914062,171.26245812752686,166.99997473942338,168.46643037323963,76138300,0.016783736681251993,,,0,0.0,0.961925172649938,1.0
2022-01-12,171.60462951660156,173.21772467571947,170.91051556767007,172.1814317936139,74805200,0.002570191977677716,,,0,0.0,0.9643975050118092,1.0
2022-01-13,168.33934020996094,172.6702655459411,167.94827640647682,171.84905393496265,84505800,-0.019027979115940674,,,0,-0.0,0.9460469694269792,1.0
2022-01-14,169.19961547851562,169.89372928280528,167.26388378987963,167.50829300048528,80440800,0.0051103637894844844,,,0,0.0,0.9508816136026904,1.0
2022-01-18,166.00274658203125,168.68146210817613,165.62146879237642,167.67449730684277,90956700,-0.018894067149285543,,,0,-0.0,0.9329155925442602,1.0
2022-01-19,162.51263427734375,167.25418085979933,162.22912604138475,166.19833085017333,94815000,-0.021024425056502594,,,0,-0.0,0.9133015785847707,1.0
2022-01-20,160.83108520507812,165.88546757565922,160.50846314939517,163.24585020445963,91420500,-0.010347189803076473,,,0,-0.0,0.9038514738037047,1.0
2022-01-21,158.778076171875,162.61041256635795,158.67053547305395,160.74312175844747,122848900,-0.012765001433555634,,,0,-0.0,0.8923138084448791,1.0
2022-01-24,158.00575256347656,158.67055375576103,151.24050351351042,156.44154166659845,162294600,-0.004864170337738671,,,0,-0.0,0.8879734420858869,1.0
2022-01-25,156.20684814453125,159.1202024043847,153.5085752311325,155.4247355135648,115798400,-0.011385056491678203,,,0,-0.0,0.8778638142846291,1.0
2022-01-26,156.11886596679688,160.7137572085088,154.29068942101793,159.84366081362626,108275300,-0.0005632414889580328,,,0,-0.0,0.8773693649627691,1.0
2022-01-27,155.65939331054688,160.17607231774176,154.74041197266266,158.81715723147198,121954600,-0.0029430950154846203,,,0,-0.0,0.8747871835580082,1.0
2022-01-28,166.52090454101562,166.5404614570555,159.15929945417386,162.00422657695262,179935700,0.06977742235445827,,,0,0.0,0.9358275783354024,1.0
2022-01-31,170.8714141845703,171.0864955438015,165.71926239899202,166.35473547583268,115541600,0.0261259068676456,166.06290283203126,,0,0.0,0.9602769224911675,1.0
2022-02-01,170.70523071289062,170.93008309016165,168.45666218750117,170.11864243059435,86213900,-0.0009725645010474349,165.70117797851563,,0,-0.0,0.9593429912451775,1.0
2022-02-02,171.90771484375,171.94682868403083,169.45385093947993,170.84209391826516,84914300,0.007044213735206695,165.5124954223633,,0,0.0,0.9661008083208811,1.0
2022-02-03,169.033447265625,172.29876649074853,168.27089152715305,170.57811566132818,89418100,-0.01671982889620438,165.41375503540038,,0,-0.0,0.9499477681092712,1.0
2022-02-04,168.74957275390625,170.42346859121156,167.0756769166009,168.05455952783922,82465400,-0.001679398464096038,165.4435546875,,0,-0.0,0.948352427286537,1.0
2022-02-07,168.03500366210938,170.2766384169295,167.33999039041194,169.20965988540354,77251200,-0.0042344942279585185,165.42931594848633,,0,-0.0,0.9443366344071217,1.0
2022-02-08,171.13804626464844,171.64706939744136,167.80983647215697,168.1035042386361,74829200,0.01846664406172649,165.5692512512207,,0,0.0,0.9617753629091668,1.0
2022-02-09,172.55743408203125,172.91961588647231,171.20657123174874,172.3322952525055,71285000,0.008293818051351654,165.63888778686524,,0,0.0,0.969752152775408,1.0
2022-02-10,168.48529052734375,171.7743370940817,167.92733513885554,170.462637822063,90865900,-0.02359877206305505,165.48292083740233,,0,-0.0,0.9468671927644042,1.0
2022-02-11,165.07876586914062,169.42500712943504,164.49143031742815,168.6908451580762,98670700,-0.020218528558433868,165.31989212036132,,0,-0.0,0.927722931386453,1.0
2022-02-14,165.31370544433594,165.99892030677,163.04269054419584,163.83558309476697,86185500,0.0014231968233973102,165.12559661865234,,0,0.0,0.929043263715395,1.0
2022-02-15,169.14112854003906,169.29775335068365,166.65477315145358,167.35956986279012,62527400,0.023152485061148642,165.28251571655272,,0,0.0,0.9505529239997265,1.0
2022-02-16,168.9062042236328,169.67951494494773,166.45899759893967,168.2209893560315,61177400,-0.001388924848935491,165.6021942138672,,0,-0.0,0.9492326774233549,1.0
2022-02-17,165.31370544433594,168.27971865617212,164.91235997613748,167.4182971510757,69589300,-0.021269193726835445,165.8263252258301,,0,-0.0,0.9290432637153949,1.0
2022-02-18,163.76707458496094,166.93864489391834,162.68051421778296,166.23386310925557,82772700,-0.009355732818509543,166.07577514648438,,0,-0.0,0.9203513831632376,1.0
2022-02-22,160.8499755859375,163.16992227378196,158.72578746937097,161.4960266681506,91162800,-0.017812487683597666,166.2179862976074,,0,-0.0,0.9039576354860603,1.0
2022-02-23,156.6897735595703,162.64136771002168,156.3765239008277,162.04424861753867,90009200,-0.025863864829401284,166.24213256835938,,0,-0.0,0.8805777973903437,1.0
2022-02-24,159.30337524414062,159.4110529381091,148.7901697172211,149.3579234730035,141147500,0.016680103782118705,166.40135803222657,,0,0.0,0.8952659264390441,1.0
2022-02-25,161.36880493164062,161.6330924831591,157.47284137265066,160.38012393186045,91974200,0.012965385600490986,166.68682861328125,,0,0.0,0.9068733943903071,1.0
2022-02-28,161.63307189941406,161.92673963359974,158.9998756125995,159.6165763607333,95056600,0.001637658331084424,166.44243698120118,,0,0.0,0.9083585431598692,1.0
2022-03-01,159.7536163330078,163.08182569745117,158.5495950755146,161.22194003999604,83474400,-0.011627914660780947,165.88654708862305,,0,-0.0,0.8977962275386149,1.0
2022-03-02,163.0426788330078,163.82578787806702,159.50891214996344,160.91850544375748,79724800,0.020588344573958972,165.5034194946289,,0,0.0,0.9162803656283803,1.0
2022-03-03,162.7196807861328,165.34309441078548,162.05404766344782,164.91238359654656,76678400,-0.0019810644009709,165.04401779174805,,0,-0.0,0.9144651552147254,1.0
2022-03-04,159.7242889404297,162.0540345545001,158.67689221468046,161.01642127862274,83737200,-0.018408294751020682,164.57855987548828,,0,-0.0,0.8976314110979948,1.0
2022-03-07,155.93601989746094,161.5352302369313,155.68150083148916,159.91028134097652,96418800,-0.02371755146383281,163.93788223266603,,0,-0.0,0.8763417919097253,1.0
2022-03-08,154.11526489257812,159.4403881412621,152.50989817230385,155.4661275372027,131148300,-0.011676295227235456,163.24189529418945,,0,-0.0,0.8661093664274228,1.0
2022-03-09,159.50894165039062,159.95923428896205,156.04370327606966,158.06998280822745,91454900,0.034997680220528515,162.66044006347656,,0,0.0,0.8964211850696543,1.0
2022-03-10,155.17250061035156,157.00300660733848,152.6861300144377,156.81701649151432,105342000,-0.027186194047626566,161.79119338989258,,0,-0.0,0.8720509047839473,1.0
2022-03-11,151.46255493164062,155.91647534911107,151.23741603499275,155.5738603413947,96970100,-0.023908525441803996,160.94005661010743,,0,-0.0,0.8512014535403721,1.0
2022-03-14,147.43931579589844,150.86540543880508,146.93030751756515,148.25179027503273,108732100,-0.026562599168870382,160.0580841064453,,0,-0.0,0.8285913305180194,1.0
2022-03-15,151.81491088867188,152.28478532825997,147.20438184151632,147.713390079557,92964300,0.02967726124577652,159.3831443786621,163.99850311279297,0,0.0,0.8531816518997882,1.0
2022-03-16,156.21986389160156,156.62120932527256,151.19820652447248,153.73350876565036,102300200,0.029015285633964494,158.73708114624023,163.56410583496094,0,0.0,0.8779369612273182,1.0
2022-03-17,157.22811889648438,157.60009906528276,154.30126947324382,155.2605702418383,75615400,0.0064540768361085465,158.1531768798828,163.19504089355468,0,0.0,0.883603233832339,1.0
2022-03-18,160.51718139648438,161.00662274780382,156.38629519642316,157.1204572234023,123511700,0.020919047579303962,157.91335067749023,162.98521942138672,0,0.0,0.9020873719221045,1.0
2022-03-21,161.8876190185547,162.83713639325782,159.56765695852218,160.05709828830467,95811400,0.008537638215097232,157.81937789916992,162.85990020751953,0,0.0,0.9097890675419833,1.0
2022-03-22,165.25497436523438,165.84229498697943,161.42753966012307,162.01486028186812,81532000,0.020800573676321266,158.03962783813478,162.79860412597657,0,0.0,0.9287132020713019,1.0
2022-03-23,166.6156463623047,168.99432437394225,164.1096938716203,164.44252537221885,98062700,0.008233773308772285,158.5359214782715,162.76413024902342,0,0.0,0.936360016046021,1.0
2022-03-24,170.39413452148438,170.4626485498089,166.6156463524789,167.44768776251115,90131400,0.02267787114640707,159.09045944213867,162.7487188720703,0,0.0,0.9575946678365603,1.0
2022-03-25,171.03038024902344,171.57855215101324,169.1019802060181,170.20812239603873,80546200,0.0037339649590979462,159.57353820800782,162.73723388671874,0,0.0,0.9611702927712811,1.0
2022-03-28,171.89181518554688,172.01905978493204,168.3678313455488,168.53423961902578,90371900,0.005036736369697481,160.08647537231445,162.80828338623047,0,0.0,0.966011454142355,1.0
