,Linear,Ridge
range_5m,0.0001343428864863972,0.0001343419211273178
vol_20m,0.00010428211749018954,0.000104281806063571
minute_of_day,8.85146879936408e-05,8.851455618923639e-05
vol_5m,6.49685378367802e-05,6.496758542497329e-05
vol_10m,4.156664817101834e-06,4.1568710955740374e-06
