pred_bucket,actual_vol,predicted_vol
Very Low,0.00016056916475082897,0.0001677457322022883
Low,0.00020146700847709952,0.0001949004590987892
Medium,0.0002454881100378644,0.00024300986147462615
High,0.0003146682071917511,0.0003135886040582832
Very High,0.00058425048042663,0.0005342346579572023
