Regime,Samples,Correlation,MAE,RMSE
Low Vol,15837,0.3211946434312864,6.144373727458175e-05,7.614555056997523e-05
Medium Vol,15837,0.2833738104374776,5.5668547875041365e-05,8.233023181713117e-05
High Vol,15837,0.4492974004996223,0.000173916549128851,0.0004317717945531396
